sentence,claim_ground_truth,claim_prediction
" Merci de m’avoir emmené à la direction du parti, évidemment.",0,0
" We want the ambition we have, we have the qualifications we have.",0,0
 Se ha dicho un paso más si es llamado en cualquier momento comparecerá de manera inmediata.,0,0
 It somehow forces us to.,0,0
 Es un proceso complejo porque hay que informar al profesor.,0,0
" Desde luego, el Partido Socialista tiene unos compañeros de viaje.",0,0
 À quoi répondez-vous ?,0,0
" Ha sido muy amable, le deseamos todo lo mejor en esta nueva etapa profesional.",0,0
" C’est ce que mon parti pense qu’il devrait être, que ces réformes structurelles devraient être là où l’argent que l’Europe n’a pas devrait être investi de manière responsable.",0,0
 Some of the budget items.,0,0
 El primero es la detención.,0,0
" And also taking care that this is what the presidency of the Sahel alliance means, worrying about the economic and social development of this region and worrying that children may have schools to go to.",0,0
 Who?,0,0
 On our planet.,0,0
" So, if you don't want to worry and just want to charge the rental negotiating agency, you should call 920 20 11 920 20:11.",0,0
" In other words, we can understand that if words are not censored, Paul Iglesias' attack on the media can understand that it supports this attack.",0,0
 Retos de transición ecológica.,0,0
" Aussi connu, l’industrie du commerce et du tourisme, qui sont des piliers fondamentaux pour la reprise de notre économie.",0,0
 Liberté.,0,0
" I hope that we can finally and can take the four opinions forward, because I think drawing, he said yesterday in the congressional gallery.",0,0
 That's what we've always done.,0,0
" Bueno la verdad es que nosotros, nosotros estamos muy contentos.",0,0
 Gracias por haber estado en Onda Madrid.,0,0
 Y tengo una total y absoluta confianza en la Fiscalía del Tribunal Supremo y en Juan Campos que es el fiscal jefe del Tribunal Supremo con el que he llevado muchísimos asuntos contra la corrupción en el Tribunal Supremo y es porque conozco bien un grandísimo profesional.,0,0
 We're not tapestry casticism of any kind.,0,0
 Very much related to everything that has been approved in Brussels.,0,0
" Fuentes Gago, Eugenio Pino, qui a été crédité dans une commission parlementaire avec tous les partis présents, que le Parti populaire a créé une structure paralyciale et médiatique pour couvrir sa corruption, tout en attaquant leurs rivaux politiques avec le rapport PISA.",1,0
" And so, regardless of these events, his legacy during the last forty years at the head of the state and above all, of this transition from a dictatorship to a democracy and the full freedoms that all Spaniards enjoy today, is undeniable.",0,0
 Usted mismo es diputado en el Poder Legislativo?,0,0
 Vamos a estar muy atentos a las informaciones que nos llegan desde allí.,0,0
 And we're going to try because we think it's the best solution to constitutionalism.,0,0
"Depuis 2012, les conseils municipaux ne pouvaient pas avoir le surplus restant",1,1
 Je ne sais pas si le Parti populaire serait dedans.,0,0
 La verdad es que la respuesta del Jefe del Estado a la carta del padre sonó muy poco transparente.,0,0
 I think we're talking about things I don't know.,0,0
" Énormément et laisser chacun des pouvoirs de l’État, le législatif de l’exécutif et le pouvoir judiciaire faire leurs devoirs en toute indépendance.",0,0
 Por tanto los sellos de seguridad se están poniendo en marcha eficaces y se convertirá en una pegatina en la puerta del establecimiento de actividad española.,0,0
" Look at you, for me a good positive example.",0,0
" Au fait, ces contacts sont-ils maintenus?",0,0
" But above all there is no more sense of ridicule, because the reforms that are our series that they want to repeal are attributed and yet do not listen to the proposals that we are actually making.",0,0
 Pero creo que no deberíamos de perder mucho tiempo en esas valoraciones.,0,0
 I was wondering why the Dependency Act has yet to be further developed.,0,0
" Bueno, eso es reparase.",0,0
" I've never, ever listened to and I assure you never.",0,0
 El alcalde Almeda gracias.,0,0
" Donc il y a, j’insiste sur le fait que je ne sais pas où la phrase.",0,0
 Voyons quels budgets mettent sur la table.,0,0
 Sin justicia fiscal es imposible financiar un Estado del bienestar como el que necesita la gente de nuestro país y que se ha demostrado imprescindible.,0,0
 No decía que Ciudadanos plantea crear un cuerpo sanitario la reserva para actuar pronto ante cualquier urgencia.,0,0
 Thanks to you a hug.,0,0
" Une crise sanitaire qui n’est pas terminée, que nous souffrons déjà des hauts et des bas en particulier en Catalogne et dont, parce que nous ne pouvons pas nous permettre d’avoir un gouvernement qui n’est pas au courant de ces circonstances et qui reste installé dans son mantra et sa confrontation.",0,0
" Exactement, exactement.",0,0
" And thirdly in this bureaucracy, we believe that companies must be able to grow in fiscal, trade union or internationalization barriers.",0,0
" En España se puede reformar la administración que pueden suponer inversiones importantes en innovación, que siempre ha sido un poco a la hermana pobre de los presupuestos en este país que puede modificar la justicia, que pueden llevarnos a un pacto nacional contra la despoblación.",0,0
 I do not make assessments of the fate of the journey of the person who held the head of state in our country.,0,0
 Et c’est le grand débat.,0,0
 Creo que era un día muy importante.,0,0
" In any case it is true that when one has two passions, but a pallasos, I want to point out what is of the workers.",0,0
" Well, I don't think I'm not the one to judge where the credit goes.",0,0
 Y que hoy precisamente la justicia puede llamarle para para que explique unas determinadas actitudes o conductas.,0,0
 C’est le début de plus d’initiatives telles que le retrait du titre de roi à Don Juan Carlos d’abord.,0,0
" Ni todos los países que tienen estructuras económicas diferentes van a recuperarse al mismo al mismo ritmo, entrando ya lo que es la situación de la inflación.",0,0
" Esta es su casa, eh?",0,0
" The health system collapsed, but logically there have been things that have nothing to do with it.",0,0
 No podemos fomentar la crispación.,0,0
 EC That's old policy.,0,0
" Par conséquent, quelqu’un qui n’a pas de portes ouvertes, qui n’en a pas.",0,0
" Les bourses, qui sont un millier neuf cents millions, 22 pour cent de plus qu’il n’y avait.",1,1
" Sí, ya digo.",0,0
" Bueno, nosotros vamos a intentar que lo sea en todos los niveles, pero ciertamente hay que observar las medidas higiénico sanitarias.",0,0
 Farmers are not going to lose a penny compared to previous budgets.,1,0
" Eh bien, Carolina Darias ministre de la politique territoriale et de la fonction publique, nous la quittons parce que dans 20 minutes les délégations, les différents présidents régionaux San Millán de la Cogolla, commencent à arriver.",1,0
" But, for example, there are things that follow and now I speak to him.",0,0
 In health matters.,0,0
 Citoyens Vous avec cet avertissement sont toujours optimistes face aux comptes?,0,0
 Faltan diez minutos para alcanzar las once de la mañana.,0,0
" Et comme ils ne le cachent pas, ils font des discours comme les discours de Yolanda Diaz il y a dix secondes sur cette même chaîne.",0,0
 Maria Calviño.,0,0
" Donc, parce que nous nous sommes réunis dans les années quatre-vingt du siècle dernier.",0,0
 A todos nos pasa eso cuando tenemos que tomar decisión sobre dónde colocamos nuestro dinero y queremos asegurarnos de que ese empleo se emplee bien.,0,0
